BSN,Building,Name,type,color,eMail,Internet,Standort,Straße,PLZ,lat,lng
01B01,01B01,"OSZ Banken, Immobilien und Versicherungen",osz,black,mail@osz-biv.de,http://www.osz-biv.de,Hauptstandort,Alt-Moabit 10,10557,52.5237823,13.3577818
01B02,01B02,Staatliche Technikerschule Berlin,osz,black,info@technikerschule-berlin.de,https://www.technikerschule-berlin.de,Hauptstandort,Bochumer Str. 8,10555,52.5226965,13.3380649
01B03,01B03,"OSZ Kommunikations-, Informations- und Medientechnik",osz,black,verwaltung@oszkim.de,http://www.oszkim.de,Hauptstandort,Osloer Str. 23-26,13359,52.5567158,13.3793791
01B04,01B04,OSZ Gesundheit I,osz,black,sekretariat@osz-gesundheit.de,http://www.osz-gesundheit.de,Hauptstandort,Schwyzer Str. 6-8,13349,52.55862,13.35463
01B05,01B05,Staatliche Wirtschaftsfachschule für Hotellerie und Gastronomie Berlin (HOFA),osz,black,info@hotelfachschule-berlin.de,http://www.hotelfachschule-berlin.de,Hauptstandort,Niederwallstr. 6-7,10117,52.51238,13.398
01G01,01G01,Grundschule am Arkonaplatz,grundschule,green,sekretariat@arkonaplatz.schule.berlin.de,http://www.grundschuleamarkonaplatz.de,Hauptstandort,Ruppiner Str. 47-48,10115,52.53684,13.40039
01G02,01G02,Papageno-Grundschule,grundschule,green,sekretariat@papageno-grundschule.de,http://www.papageno-grundschule.de,Hauptstandort,Bergstr. 58,10115,52.532833,13.391048
01G04,01G04,Kastanienbaum-Grundschule,grundschule,green,sekretariat@kastanienbaumgrundschule.de,http://www.kastanienbaumgrundschule.de,Hauptstandort,Gipsstr. 23 A,10119,52.52678,13.4018
01G05,01G05,Grundschule Neues Tor,grundschule,green,schulleitung@01G05.schule.berlin.de,http://www.neues-tor.de,Hauptstandort,Hannoversche Str. 20,10115,52.52759,13.38033
01G07,01G07,GutsMuths-Grundschule,grundschule,green,sekretariat@gutsmuths.schule.berlin.de,http://www.gutsmuths-grundschule.de,Hauptstandort,Singerstr. 8,10179,52.516365,13.42412
01G08,01G08,Grundschule am Brandenburger Tor,grundschule,green,sekretariat@gsabt.schule.berlin.de,http://www.Grundschule-am-Brandenburger-Tor.de,Hauptstandort,Wilhelmstr. 52,10117,52.51318,13.38276
01G10,01G10,City-Grundschule,grundschule,green,Sekretariat@city.schule.berlin.de,http://www.city-grundschule.de,Hauptstandort,Sebastianstr. 57,10179,52.50737,13.40892
01G11,01G11,Kurt-Tucholsky-Grundschule,grundschule,green,01g11@01g11.schule.berlin.de,http://www.kurt-tucholsky-grundschule.de,Hauptstandort,Rathenower Str. 18,10559,52.53026,13.35303
01G15,01G15,Anne-Frank-Grundschule,grundschule,green,sekretariat@anne-frank-grundschule.de,http://anne-frank-grundschule.de,Hauptstandort,Paulstr. 20 B,10557,52.51827,13.35527
